Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
3.955,0.140,0.000,3.614,0.003,0.299,3.218,0.067,0.534,0.390,2.212,
12.264,0.126,0.000,11.975,0.002,0.300,11.565,0.068,0.537,0.393,10.552,
5.037,0.116,0.000,4.755,0.003,0.304,4.355,0.153,0.578,0.410,3.196,
4.033,0.153,0.000,3.714,0.003,0.355,3.261,0.087,0.603,0.444,2.107,
3.948,0.126,0.000,3.659,0.003,0.346,3.222,0.083,0.604,0.459,2.056,
4.984,0.115,0.000,4.710,0.002,0.305,4.317,0.072,0.563,0.444,3.221,
4.242,0.145,0.000,3.931,0.003,0.348,3.486,0.078,0.600,0.426,2.363,
4.545,0.129,0.000,4.251,0.003,0.325,3.829,0.080,0.562,0.416,2.751,
4.482,0.139,0.000,4.180,0.003,0.351,3.714,0.079,0.584,0.406,2.625,
4.838,0.132,0.000,4.542,0.003,0.324,4.119,0.079,0.558,0.407,3.056,
11.897,0.177,0.000,11.559,0.003,0.322,11.135,0.074,0.591,0.397,10.054,
4.898,0.187,0.000,4.547,0.003,0.332,4.113,0.079,0.632,0.457,2.926,
3.963,0.180,0.000,3.619,0.003,0.332,3.190,0.080,0.631,0.416,2.043,
4.092,0.183,0.000,3.748,0.003,0.573,3.052,0.094,0.585,0.393,1.963,
4.024,0.194,0.000,3.661,0.003,0.265,3.307,0.080,0.426,0.341,2.445,
3.950,0.182,0.000,3.603,0.002,0.302,3.199,0.072,0.532,0.377,2.202,
3.960,0.121,0.000,3.678,0.003,0.296,3.275,0.070,0.523,0.374,2.293,
11.931,0.138,0.000,11.630,0.002,0.295,11.232,0.067,0.571,0.378,10.201,
4.824,0.121,0.000,4.540,0.002,0.301,4.094,0.065,0.531,0.371,3.112,
3.926,0.137,0.000,3.627,0.002,0.313,3.214,0.065,0.570,0.376,2.186,
3.990,0.136,0.000,3.693,0.002,0.352,3.191,0.067,0.536,0.379,2.193,
3.917,0.140,0.000,3.614,0.003,0.299,3.210,0.065,0.529,0.368,2.233,
3.916,0.120,0.000,3.633,0.002,0.299,3.218,0.067,0.538,0.368,2.230,
3.942,0.122,0.000,3.651,0.003,0.296,3.248,0.073,0.526,0.364,2.270,
12.100,0.135,0.000,11.803,0.003,0.299,11.390,0.065,0.530,0.409,10.371,
4.677,0.111,0.000,4.399,0.003,0.298,4.014,0.092,0.540,0.373,2.993,
3.933,0.121,0.000,3.649,0.003,0.312,3.239,0.066,0.573,0.380,2.204,
4.037,0.126,0.000,3.749,0.002,0.299,3.313,0.069,0.529,0.384,2.315,
3.875,0.124,0.000,3.588,0.003,0.316,3.166,0.068,0.535,0.372,2.177,
3.974,0.116,0.000,3.695,0.002,0.300,3.291,0.075,0.532,0.392,2.277,
3.962,0.124,0.000,3.676,0.003,0.302,3.271,0.070,0.541,0.387,2.258,
3.950,0.186,0.000,3.601,0.003,0.300,3.211,0.080,0.528,0.430,2.158,
12.008,0.183,0.000,11.662,0.002,0.299,11.271,0.074,0.575,0.395,10.211,
4.819,0.121,0.000,4.534,0.002,0.300,4.131,0.070,0.532,0.375,3.138,
3.912,0.176,0.000,3.574,0.002,0.296,3.142,0.070,0.536,0.378,2.142,
3.883,0.163,0.000,3.557,0.002,0.296,3.166,0.071,0.530,0.375,2.175,
3.964,0.132,0.000,3.670,0.002,0.299,3.272,0.071,0.521,0.372,2.292,
11.947,0.148,0.000,11.638,0.003,0.295,11.245,0.072,0.526,0.373,10.259,
4.783,0.163,0.000,4.430,0.003,0.310,4.037,0.065,0.533,0.368,3.055,
3.916,0.120,0.000,3.633,0.003,0.295,3.232,0.065,0.525,0.371,2.256,
3.961,0.186,0.000,3.613,0.002,0.301,3.216,0.075,0.533,0.426,2.167,
3.918,0.119,0.000,3.638,0.003,0.297,3.232,0.075,0.562,0.378,2.200,
3.937,0.166,0.000,3.608,0.003,0.342,3.174,0.069,0.530,0.375,2.185,
3.919,0.124,0.000,3.634,0.002,0.298,3.231,0.066,0.532,0.375,2.242,
11.917,0.237,0.000,11.517,0.003,0.299,11.117,0.074,0.534,0.381,10.111,
4.807,0.124,0.000,4.520,0.002,0.296,4.076,0.078,0.529,0.369,3.085,
3.917,0.126,0.000,3.624,0.002,0.316,3.210,0.076,0.528,0.379,2.212,
3.923,0.221,0.000,3.539,0.002,0.298,3.137,0.074,0.530,0.371,2.146,
4.029,0.128,0.000,3.739,0.003,0.299,3.336,0.068,0.583,0.373,2.296,
3.853,0.187,0.000,3.502,0.002,0.343,3.063,0.068,0.530,0.381,2.069,
11.930,0.161,0.000,11.607,0.002,0.302,11.202,0.067,0.538,0.380,10.202,
4.761,0.121,0.000,4.477,0.002,0.305,4.080,0.068,0.529,0.402,3.066,
3.941,0.162,0.000,3.615,0.002,0.298,3.211,0.069,0.536,0.371,2.219,
3.934,0.180,0.000,3.591,0.003,0.299,3.186,0.074,0.535,0.373,2.189,
4.129,0.122,0.000,3.844,0.003,0.297,3.439,0.069,0.526,0.370,2.458,
3.887,0.139,0.000,3.585,0.002,0.296,3.187,0.068,0.528,0.473,2.102,
11.926,0.124,0.000,11.640,0.002,0.297,11.233,0.070,0.564,0.365,10.217,
4.787,0.131,0.000,4.492,0.003,0.296,4.102,0.066,0.526,0.375,3.120,
3.927,0.175,0.000,3.588,0.003,0.295,3.189,0.102,0.535,0.362,2.173,
3.916,0.126,0.000,3.579,0.003,0.301,3.175,0.069,0.532,0.384,2.175,
3.972,0.120,0.000,3.688,0.003,0.298,3.294,0.069,0.531,0.377,2.302,
3.934,0.129,0.000,3.642,0.003,0.298,3.246,0.069,0.534,0.375,2.252,
11.967,0.205,0.000,11.600,0.002,0.299,11.207,0.075,0.533,0.413,10.170,
4.838,0.178,0.000,4.495,0.003,0.300,4.093,0.070,0.534,0.370,3.103,
