Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
10.531,0.186,0.000,10.093,0.003,1.307,8.652,0.457,5.014,2.673,0.383,
9.943,0.097,0.000,9.635,0.003,1.307,8.202,0.435,4.850,2.381,0.409,
10.155,0.104,0.000,9.835,0.003,1.284,8.416,0.417,4.838,2.574,0.466,
10.047,0.104,0.000,9.729,0.003,1.296,8.299,0.461,4.955,2.425,0.330,
10.114,0.142,0.000,9.762,0.003,1.292,8.342,0.446,4.657,2.686,0.425,
10.047,0.107,0.000,9.723,0.003,1.333,8.249,0.456,4.910,2.388,0.375,
10.251,0.144,0.000,9.891,0.003,1.314,8.450,0.454,4.733,2.773,0.370,
9.926,0.128,0.000,9.588,0.003,1.290,8.160,0.416,4.880,2.358,0.386,
10.269,0.152,0.000,9.903,0.003,1.311,8.469,0.403,4.848,2.682,0.420,
10.491,0.142,0.000,10.116,0.004,1.381,8.596,0.531,5.069,2.509,0.355,
10.160,0.147,0.000,9.800,0.004,1.358,8.260,0.455,4.575,2.685,0.424,
9.832,0.106,0.000,9.510,0.003,1.338,8.048,0.414,4.656,2.486,0.373,
9.958,0.104,0.000,9.639,0.003,1.272,8.240,0.439,4.628,2.618,0.440,
10.160,0.104,0.000,9.841,0.003,1.292,8.419,0.542,4.954,2.463,0.334,
10.337,0.128,0.000,9.996,0.003,1.375,8.490,0.492,4.729,2.696,0.401,
9.933,0.160,0.000,9.557,0.004,1.371,8.047,0.437,4.703,2.403,0.382,
